x,y,z
3600,-2000,0
4550,-1950,0
6300,-1280,0
6300,1280,0
4550,1950,0
3600,2000,0
3600,-2000,0
3600,-2000,20
4607.96,-1948.16,20
6300,-1300.3,20
6300,1300.3,20
4607.96,1948.16,20
3600,2000,20
3600,-2000,20
3600,-2000,40
4660.4,-1942.72,40
6300,-1320.02,40
6300,1320.02,40
4660.4,1942.72,40
3600,2000,40
3600,-2000,40
3600,-2000,60
4702.31,-1933.99,60
6300,-1338.58,60
6300,1338.58,60
4702.31,1933.99,60
3600,2000,60
3600,-2000,60
3600,-2000,80
4729.7,-1922.41,80
6300,-1355.46,80
6300,1355.46,80
4729.7,1922.41,80
3600,2000,80
3600,-2000,80
3600,-2000,100
4739.96,-1908.59,100
6300,-1370.15,100
6300,1370.15,100
4739.96,1908.59,100
3600,2000,100
3600,-2000,100
3600,-2000,120
4732.11,-1893.27,120
6300,-1382.25,120
6300,1382.25,120
4732.11,1893.27,120
3600,2000,120
3600,-2000,120
3600,-2000,140
4706.9,-1877.26,140
6300,-1391.4,140
6300,1391.4,140
4706.9,1877.26,140
3600,2000,140
3600,-2000,140
3600,-2000,160
4666.73,-1861.38,160
6300,-1397.34,160
6300,1397.34,160
4666.73,1861.38,160
3600,2000,160
3600,-2000,160
3600,-2000,180
4615.43,-1846.49,180
6300,-1399.9,180
6300,1399.9,180
4615.43,1846.49,180
3600,2000,180
3600,-2000,180
3600,-2000,200
4557.9,-1833.36,200
6300,-1399,200
6300,1399,200
4557.9,1833.36,200
3600,2000,200
3600,-2000,200
3600,-2000,220
4499.61,-1822.69,220
6300,-1394.67,220
6300,1394.67,220
4499.61,1822.69,220
3600,2000,220
3600,-2000,220
3600,-2000,240
4446.13,-1815.03,240
6300,-1387.03,240
6300,1387.03,240
4446.13,1815.03,240
3600,2000,240
3600,-2000,240
3600,-2000,260
4402.55,-1810.8,260
6300,-1376.31,260
6300,1376.31,260
4402.55,1810.8,260
3600,2000,260
3600,-2000,260
3600,-2000,280
4373.02,-1810.22,280
6300,-1362.81,280
6300,1362.81,280
4373.02,1810.22,280
3600,2000,280
3600,-2000,280
3600,-2000,300
4360.37,-1813.3,300
6300,-1346.92,300
6300,1346.92,300
4360.37,1813.3,300
3600,2000,300
3600,-2000,300
3600,-2000,320
4365.79,-1819.9,320
6300,-1329.11,320
6300,1329.11,320
4365.79,1819.9,320
3600,2000,320
3600,-2000,320
3600,-2000,340
4388.78,-1829.67,340
6300,-1309.87,340
6300,1309.87,340
4388.78,1829.67,340
3600,2000,340
3600,-2000,340
3600,-2000,360
4427.14,-1842.09,360
6300,-1289.78,360
6300,1289.78,360
4427.14,1842.09,360
3600,2000,360
3600,-2000,360
3600,-2000,380
4477.2,-1856.5,380
6300,-1269.4,380
6300,1269.4,380
4477.2,1856.5,380
3600,2000,380
3600,-2000,380
3600,-2000,400
4534.21,-1872.15,400
6300,-1249.34,400
6300,1249.34,400
4534.21,1872.15,400
3600,2000,400
3600,-2000,400
3600,-2000,420
4592.73,-1888.21,420
6300,-1230.15,420
6300,1230.15,420
4592.73,1888.21,420
3600,2000,420
3600,-2000,420
3600,-2000,440
4647.17,-1903.85,440
6300,-1212.4,440
6300,1212.4,440
4647.17,1903.85,440
3600,2000,440
3600,-2000,440
3600,-2000,460
4692.34,-1918.22,460
6300,-1196.6,460
6300,1196.6,460
4692.34,1918.22,460
3600,2000,460
3600,-2000,460
3600,-2000,480
4723.95,-1930.58,480
6300,-1183.21,480
6300,1183.21,480
4723.95,1930.58,480
3600,2000,480
3600,-2000,480
3600,-2000,500
4738.97,-1940.28,500
6300,-1172.6,500
6300,1172.6,500
4738.97,1940.28,500
3600,2000,500
3600,-2000,500
3600,-2000,520
4735.98,-1946.81,520
6300,-1165.09,520
6300,1165.09,520
4735.98,1946.81,520
3600,2000,520
3600,-2000,520
3600,-2000,540
4715.26,-1949.81,540
6300,-1160.9,540
6300,1160.9,540
4715.26,1949.81,540
3600,2000,540
3600,-2000,540
3600,-2000,560
4678.78,-1949.14,560
6300,-1160.14,560
6300,1160.14,560
4678.78,1949.14,560
3600,2000,560
3600,-2000,560
3600,-2000,580
4630.03,-1944.83,580
6300,-1162.83,580
6300,1162.83,580
4630.03,1944.83,580
3600,2000,580
3600,-2000,580
3600,-2000,600
4573.65,-1937.1,600
6300,-1168.9,600
6300,1168.9,600
4573.65,1937.1,600
3600,2000,600
3600,-2000,600
3600,-2000,620
4515.01,-1926.37,620
6300,-1178.18,620
6300,1178.18,620
4515.01,1926.37,620
3600,2000,620
3600,-2000,620
3600,-2000,640
4459.71,-1913.19,640
6300,-1190.39,640
6300,1190.39,640
4459.71,1913.19,640
3600,2000,640
3600,-2000,640
3600,-2000,660
4413.01,-1898.26,660
6300,-1205.18,660
6300,1205.18,660
4413.01,1898.26,660
3600,2000,660
3600,-2000,660
3600,-2000,680
4379.38,-1882.38,680
6300,-1222.13,680
6300,1222.13,680
4379.38,1882.38,680
3600,2000,680
3600,-2000,680
3600,-2000,700
4362.01,-1866.37,700
6300,-1240.75,700
6300,1240.75,700
4362.01,1866.37,700
3600,2000,700
3600,-2000,700
3600,-2000,720
4362.56,-1851.07,720
6300,-1260.5,720
6300,1260.5,720
4362.56,1851.07,720
3600,2000,720
3600,-2000,720
3600,-2000,740
4380.98,-1837.3,740
6300,-1280.82,740
6300,1280.82,740
4380.98,1837.3,740
3600,2000,740
3600,-2000,740
3600,-2000,760
4415.52,-1825.78,760
6300,-1301.11,760
6300,1301.11,760
4415.52,1825.78,760
3600,2000,760
3600,-2000,760
3600,-2000,780
4462.87,-1817.11,780
6300,-1320.79,780
6300,1320.79,780
4462.87,1817.11,780
3600,2000,780
3600,-2000,780
3600,-2000,800
4518.54,-1811.76,800
6300,-1339.29,800
6300,1339.29,800
4518.54,1811.76,800
3600,2000,800
3600,-2000,800
3600,-2000,820
4577.2,-1810,820
6300,-1356.09,820
6300,1356.09,820
4577.2,1810,820
3600,2000,820
3600,-2000,820
3600,-2000,840
4633.26,-1811.93,840
6300,-1370.69,840
6300,1370.69,840
4633.26,1811.93,840
3600,2000,840
3600,-2000,840
3600,-2000,860
4681.39,-1817.44,860
6300,-1382.68,860
6300,1382.68,860
4681.39,1817.44,860
3600,2000,860
3600,-2000,860
3600,-2000,880
4717,-1826.25,880
6300,-1391.71,880
6300,1391.71,880
4717,1826.25,880
3600,2000,880
3600,-2000,880
3600,-2000,900
4736.68,-1837.88,900
6300,-1397.51,900
6300,1397.51,900
4736.68,1837.88,900
3600,2000,900
3600,-2000,900
3600,-2000,920
4738.57,-1851.74,920
6300,-1399.93,920
6300,1399.93,920
4738.57,1851.74,920
3600,2000,920
3600,-2000,920
3600,-2000,940
4722.48,-1867.08,940
6300,-1398.89,940
6300,1398.89,940
4722.48,1867.08,940
3600,2000,940
3600,-2000,940
3600,-2000,960
4689.95,-1883.11,960
6300,-1394.42,960
6300,1394.42,960
4689.95,1883.11,960
3600,2000,960
3600,-2000,960
3600,-2000,980
4644.07,-1898.97,980
6300,-1386.66,980
6300,1386.66,980
4644.07,1898.97,980
3600,2000,980
3600,-2000,980
3600,-2000,1000
4589.23,-1913.83,1000
6300,-1375.82,1000
6300,1375.82,1000
4589.23,1913.83,1000
3600,2000,1000
3600,-2000,1000
3600,-2000,1020
4530.65,-1926.91,1020
6300,-1362.22,1020
6300,1362.22,1020
4530.65,1926.91,1020
3600,2000,1020
3600,-2000,1020
3600,-2000,1040
4473.91,-1937.52,1040
6300,-1346.24,1040
6300,1346.24,1040
4473.91,1937.52,1040
3600,2000,1040
3600,-2000,1040
3600,-2000,1060
4424.43,-1945.1,1060
6300,-1328.36,1060
6300,1328.36,1060
4424.43,1945.1,1060
3600,2000,1060
3600,-2000,1060
3600,-2000,1080
4386.91,-1949.25,1080
6300,-1309.08,1080
6300,1309.08,1080
4386.91,1949.25,1080
3600,2000,1080
3600,-2000,1080
3600,-2000,1100
4364.95,-1949.76,1100
6300,-1288.96,1100
6300,1288.96,1100
4364.95,1949.76,1100
3600,2000,1100
3600,-2000,1100
3600,-2000,1120
4360.63,-1946.59,1120
6300,-1268.59,1120
6300,1268.59,1120
4360.63,1946.59,1120
3600,2000,1120
3600,-2000,1120
3600,-2000,1140
4374.36,-1939.91,1140
6300,-1248.55,1140
6300,1248.55,1140
4374.36,1939.91,1140
3600,2000,1140
3600,-2000,1140
3600,-2000,1160
4404.83,-1930.08,1160
6300,-1229.41,1160
6300,1229.41,1160
4404.83,1930.08,1160
3600,2000,1160
3600,-2000,1160
3600,-2000,1180
4449.15,-1917.61,1180
6300,-1211.73,1180
6300,1211.73,1180
4449.15,1917.61,1180
3600,2000,1180
3600,-2000,1180
3600,-2000,1200
4503.08,-1903.16,1200
6300,-1196.02,1200
6300,1196.02,1200
4503.08,1903.16,1200
3600,2000,1200
3600,-2000,1200
3600,-2000,1220
4561.48,-1887.49,1220
6300,-1182.72,1220
6300,1182.72,1220
4561.48,1887.49,1220
3600,2000,1220
3600,-2000,1220
3600,-2000,1240
4618.79,-1871.42,1240
6300,-1172.24,1240
6300,1172.24,1240
4618.79,1871.42,1240
3600,2000,1240
3600,-2000,1240
3600,-2000,1260
4669.54,-1855.81,1260
6300,-1164.86,1260
6300,1164.86,1260
4669.54,1855.81,1260
3600,2000,1260
3600,-2000,1260
3600,-2000,1280
4708.89,-1841.47,1280
6300,-1160.8,1280
6300,1160.8,1280
4708.89,1841.47,1280
3600,2000,1280
3600,-2000,1280
3600,-2000,1300
4733.1,-1829.16,1300
6300,-1160.18,1300
6300,1160.18,1300
4733.1,1829.16,1300
3600,2000,1300
3600,-2000,1300
3600,-2000,1320
4739.85,-1819.53,1320
6300,-1163.01,1320
6300,1163.01,1320
4739.85,1819.53,1320
3600,2000,1320
3600,-2000,1320
3600,-2000,1340
4728.5,-1813.08,1340
6300,-1169.21,1340
6300,1169.21,1340
4728.5,1813.08,1340
3600,2000,1340
3600,-2000,1340
3600,-2000,1360
4700.14,-1810.16,1360
6300,-1178.61,1360
6300,1178.61,1360
4700.14,1810.16,1360
3600,2000,1360
3600,-2000,1360
3600,-2000,1380
4657.46,-1810.92,1380
6300,-1190.93,1380
6300,1190.93,1380
4657.46,1810.92,1380
3600,2000,1380
3600,-2000,1380
3600,-2000,1400
4604.54,-1815.31,1400
6300,-1205.82,1400
6300,1205.82,1400
4604.54,1815.31,1400
3600,2000,1400
3600,-2000,1400
3600,-2000,1420
4546.42,-1823.11,1420
6300,-1222.85,1420
6300,1222.85,1420
4546.42,1823.11,1420
3600,2000,1420
3600,-2000,1420
3600,-2000,1440
4488.64,-1833.91,1440
6300,-1241.53,1440
6300,1241.53,1440
4488.64,1833.91,1440
3600,2000,1440
3600,-2000,1440
3600,-2000,1460
4436.71,-1847.13,1460
6300,-1261.31,1460
6300,1261.31,1460
4436.71,1847.13,1460
3600,2000,1460
3600,-2000,1460
3600,-2000,1480
4395.58,-1862.09,1480
6300,-1281.64,1480
6300,1281.64,1480
4395.58,1862.09,1480
3600,2000,1480
3600,-2000,1480
3600,-2000,1500
4369.17,-1877.99,1500
6300,-1301.91,1500
6300,1301.91,1500
4369.17,1877.99,1500
3600,2000,1500
3600,-2000,1500
3600,-2000,1520
4360,-1893.99,1520
6300,-1321.56,1520
6300,1321.56,1520
4360,1893.99,1520
3600,2000,1520
3600,-2000,1520
3600,-2000,1540
4368.94,-1909.26,1540
6300,-1340,1540
6300,1340,1540
4368.94,1909.26,1540
3600,2000,1540
3600,-2000,1540
3600,-2000,1560
4395.15,-1922.99,1560
6300,-1356.72,1560
6300,1356.72,1560
4395.15,1922.99,1560
3600,2000,1560
3600,-2000,1560
3600,-2000,1580
4436.12,-1934.45,1580
6300,-1371.22,1580
6300,1371.22,1580
4436.12,1934.45,1580
3600,2000,1580
3600,-2000,1580
3600,-2000,1600
4487.94,-1943.04,1600
6300,-1383.1,1600
6300,1383.1,1600
4487.94,1943.04,1600
3600,2000,1600
3600,-2000,1600
3600,-2000,1620
4545.68,-1948.32,1620
6300,-1392,1620
6300,1392,1620
4545.68,1948.32,1620
3600,2000,1620
3600,-2000,1620
3600,-2000,1640
4603.83,-1950,1640
6300,-1397.68,1640
6300,1397.68,1640
4603.83,1950,1640
3600,2000,1640
3600,-2000,1640
3600,-2000,1660
4656.85,-1947.99,1660
6300,-1399.96,1660
6300,1399.96,1660
4656.85,1947.99,1660
3600,2000,1660
3600,-2000,1660
3600,-2000,1680
4699.69,-1942.4,1680
6300,-1398.78,1680
6300,1398.78,1680
4699.69,1942.4,1680
3600,2000,1680
3600,-2000,1680
3600,-2000,1700
4728.25,-1933.52,1700
6300,-1394.18,1700
6300,1394.18,1700
4728.25,1933.52,1700
3600,2000,1700
3600,-2000,1700
3600,-2000,1720
4739.82,-1921.82,1720
6300,-1386.28,1720
6300,1386.28,1720
4739.82,1921.82,1720
3600,2000,1720
3600,-2000,1720
3600,-2000,1740
4733.29,-1907.93,1740
6300,-1375.32,1740
6300,1375.32,1740
4733.29,1907.93,1740
3600,2000,1740
3600,-2000,1740
3600,-2000,1760
4709.3,-1892.56,1760
6300,-1361.62,1760
6300,1361.62,1760
4709.3,1892.56,1760
3600,2000,1760
3600,-2000,1760
3600,-2000,1780
4670.11,-1876.53,1780
6300,-1345.56,1780
6300,1345.56,1780
4670.11,1876.53,1780
3600,2000,1780
3600,-2000,1780
3600,-2000,1800
4619.47,-1860.68,1800
6300,-1327.61,1800
6300,1327.61,1800
4619.47,1860.68,1800
3600,2000,1800
3600,-2000,1800
3600,-2000,1820
4562.22,-1845.85,1820
6300,-1308.29,1820
6300,1308.29,1820
4562.22,1845.85,1820
3600,2000,1820
3600,-2000,1820
3600,-2000,1840
4503.79,-1832.82,1840
6300,-1288.15,1840
6300,1288.15,1840
4503.79,1832.82,1840
3600,2000,1840
3600,-2000,1840
3600,-2000,1860
4449.77,-1822.27,1860
6300,-1267.78,1860
6300,1267.78,1860
4449.77,1822.27,1860
3600,2000,1860
3600,-2000,1860
3600,-2000,1880
4405.31,-1814.77,1880
6300,-1247.76,1880
6300,1247.76,1880
4405.31,1814.77,1880
3600,2000,1880
3600,-2000,1880
3600,-2000,1900
4374.64,-1810.7,1900
6300,-1228.67,1900
6300,1228.67,1900
4374.64,1810.7,1900
3600,2000,1900
3600,-2000,1900
3600,-2000,1920
4360.69,-1810.28,1920
6300,-1211.06,1920
6300,1211.06,1920
4360.69,1810.28,1920
3600,2000,1920
3600,-2000,1920
3600,-2000,1940
4364.78,-1813.53,1940
6300,-1195.43,1940
6300,1195.43,1940
4364.78,1813.53,1940
3600,2000,1940
3600,-2000,1940
3600,-2000,1960
4386.54,-1820.28,1960
6300,-1182.25,1960
6300,1182.25,1960
4386.54,1820.28,1960
3600,2000,1960
3600,-2000,1960
3600,-2000,1980
4423.87,-1830.18,1980
6300,-1171.88,1980
6300,1171.88,1980
4423.87,1830.18,1980
3600,2000,1980
3600,-2000,1980
3600,-2000,2000
4473.23,-1842.7,2000
6300,-1164.63,2000
6300,1164.63,2000
4473.23,1842.7,2000
3600,2000,2000
3600,-2000,2000
3600,-2000,2020
4529.91,-1857.19,2020
6300,-1160.71,2020
6300,1160.71,2020
4529.91,1857.19,2020
3600,2000,2020
3600,-2000,2020
3600,-2000,2040
4588.51,-1872.88,2040
6300,-1160.22,2040
6300,1160.22,2040
4588.51,1872.88,2040
3600,2000,2040
3600,-2000,2040
3600,-2000,2060
4643.43,-1888.94,2060
6300,-1163.19,2060
6300,1163.19,2060
4643.43,1888.94,2060
3600,2000,2060
3600,-2000,2060
3600,-2000,2080
4689.44,-1904.53,2080
6300,-1169.53,2080
6300,1169.53,2080
4689.44,1904.53,2080
3600,2000,2080
3600,-2000,2080
3600,-2000,2100
4722.17,-1918.83,2100
6300,-1179.05,2100
6300,1179.05,2100
4722.17,1918.83,2100
3600,2000,2100
3600,-2000,2100
3600,-2000,2120
4738.48,-1931.09,2120
6300,-1191.48,2120
6300,1191.48,2120
4738.48,1931.09,2120
3600,2000,2120
3600,-2000,2120
3600,-2000,2140
4736.82,-1940.65,2140
6300,-1206.47,2140
6300,1206.47,2140
4736.82,1940.65,2140
3600,2000,2140
3600,-2000,2140
3600,-2000,2160
4717.35,-1947.02,2160
6300,-1223.57,2160
6300,1223.57,2160
4717.35,1947.02,2160
3600,2000,2160
3600,-2000,2160
3600,-2000,2180
4681.93,-1949.86,2180
6300,-1242.3,2180
6300,1242.3,2180
4681.93,1949.86,2180
3600,2000,2180
3600,-2000,2180
3600,-2000,2200
4633.93,-1949.02,2200
6300,-1262.12,2200
6300,1262.12,2200
4633.93,1949.02,2200
3600,2000,2200
3600,-2000,2200
3600,-2000,2220
4577.93,-1944.55,2220
6300,-1282.45,2220
6300,1282.45,2220
4577.93,1944.55,2220
3600,2000,2220
3600,-2000,2220
3600,-2000,2240
4519.26,-1936.67,2240
6300,-1302.72,2240
6300,1302.72,2240
4519.26,1936.67,2240
3600,2000,2240
3600,-2000,2240
3600,-2000,2260
4463.53,-1925.82,2260
6300,-1322.32,2260
6300,1322.32,2260
4463.53,1925.82,2260
3600,2000,2260
3600,-2000,2260
3600,-2000,2280
4416.04,-1912.54,2280
6300,-1340.71,2280
6300,1340.71,2280
4416.04,1912.54,2280
3600,2000,2280
3600,-2000,2280
3600,-2000,2300
4381.32,-1897.56,2300
6300,-1357.35,2300
6300,1357.35,2300
4381.32,1897.56,2300
3600,2000,2300
3600,-2000,2300
3600,-2000,2320
4362.69,-1881.65,2320
6300,-1371.75,2320
6300,1371.75,2320
4362.69,1881.65,2320
3600,2000,2320
3600,-2000,2320
3600,-2000,2340
4361.9,-1865.65,2340
6300,-1383.52,2340
6300,1383.52,2340
4361.9,1865.65,2340
3600,2000,2340
3600,-2000,2340
3600,-2000,2360
4379.05,-1850.41,2360
6300,-1392.29,2360
6300,1392.29,2360
4379.05,1850.41,2360
3600,2000,2360
3600,-2000,2360
3600,-2000,2380
4412.5,-1836.73,2380
6300,-1397.83,2380
6300,1397.83,2380
4412.5,1836.73,2380
3600,2000,2380
3600,-2000,2380
3600,-2000,2400
4459.06,-1825.32,2400
6300,-1399.98,2400
6300,1399.98,2400
4459.06,1825.32,2400
3600,2000,2400
3600,-2000,2400
3600,-2000,2420
4514.28,-1816.8,2420
6300,-1398.66,2420
6300,1398.66,2420
4514.28,1816.8,2420
3600,2000,2420
3600,-2000,2420
3600,-2000,2440
4572.91,-1811.6,2440
6300,-1393.92,2440
6300,1393.92,2440
4572.91,1811.6,2440
3600,2000,2440
3600,-2000,2440
3600,-2000,2460
4629.36,-1810.01,2460
6300,-1385.9,2460
6300,1385.9,2460
4629.36,1810.01,2460
3600,2000,2460
3600,-2000,2460
3600,-2000,2480
4678.24,-1812.1,2480
6300,-1374.82,2480
6300,1374.82,2480
4678.24,1812.1,2480
3600,2000,2480
3600,-2000,2480
3600,-2000,2500
4714.89,-1817.77,2500
6300,-1361.02,2500
6300,1361.02,2500
4714.89,1817.77,2500
3600,2000,2500
3600,-2000,2500
3600,-2000,2520
4735.83,-1826.72,2520
6300,-1344.87,2520
6300,1344.87,2520
4735.83,1826.72,2520
3600,2000,2520
3600,-2000,2520
3600,-2000,2540
4739.05,-1838.47,2540
6300,-1326.86,2540
6300,1326.86,2540
4739.05,1838.47,2540
3600,2000,2540
3600,-2000,2540
3600,-2000,2560
4724.25,-1852.41,2560
6300,-1307.49,2560
6300,1307.49,2560
4724.25,1852.41,2560
3600,2000,2560
3600,-2000,2560
3600,-2000,2580
4692.83,-1867.8,2580
6300,-1287.33,2580
6300,1287.33,2580
4692.83,1867.8,2580
3600,2000,2580
3600,-2000,2580
3600,-2000,2600
4647.8,-1883.84,2600
6300,-1266.96,2600
6300,1266.96,2600
4647.8,1883.84,2600
3600,2000,2600
3600,-2000,2600
3600,-2000,2620
4593.45,-1899.67,2620
6300,-1246.97,2620
6300,1246.97,2620
4593.45,1899.67,2620
3600,2000,2620
3600,-2000,2620
3600,-2000,2640
4534.95,-1914.47,2640
6300,-1227.93,2640
6300,1227.93,2640
4534.95,1914.47,2640
3600,2000,2640
3600,-2000,2640
3600,-2000,2660
4477.89,-1927.45,2660
6300,-1210.39,2660
6300,1210.39,2660
4477.89,1927.45,2660
3600,2000,2660
3600,-2000,2660
3600,-2000,2680
4427.7,-1937.93,2680
6300,-1194.85,2680
6300,1194.85,2680
4427.7,1937.93,2680
3600,2000,2680
3600,-2000,2680
3600,-2000,2700
4389.17,-1945.37,2700
6300,-1181.78,2700
6300,1181.78,2700
4389.17,1945.37,2700
3600,2000,2700
3600,-2000,2700
3600,-2000,2720
4365.98,-1949.35,2720
6300,-1171.53,2720
6300,1171.53,2720
4365.98,1949.35,2720
3600,2000,2720
3600,-2000,2720
3600,-2000,2740
4360.33,-1949.69,2740
6300,-1164.41,2740
6300,1164.41,2740
4360.33,1949.69,2740
3600,2000,2740
3600,-2000,2740
3600,-2000,2760
4372.75,-1946.36,2760
6300,-1160.62,2760
6300,1160.62,2760
4372.75,1946.36,2760
3600,2000,2760
3600,-2000,2760
3600,-2000,2780
4402.08,-1939.53,2780
6300,-1160.28,2780
6300,1160.28,2780
4402.08,1939.53,2780
3600,2000,2780
3600,-2000,2780
3600,-2000,2800
4445.51,-1929.56,2800
6300,-1163.38,2800
6300,1163.38,2800
4445.51,1929.56,2800
3600,2000,2800
3600,-2000,2800
3600,-2000,2820
4498.9,-1916.99,2820
6300,-1169.85,2820
6300,1169.85,2820
4498.9,1916.99,2820
3600,2000,2820
3600,-2000,2820
3600,-2000,2840
4557.16,-1902.47,2840
6300,-1179.5,2840
6300,1179.5,2840
4557.16,1902.47,2840
3600,2000,2840
3600,-2000,2840
3600,-2000,2860
4614.74,-1886.76,2860
6300,-1192.04,2860
6300,1192.04,2860
4614.74,1886.76,2860
3600,2000,2860
3600,-2000,2860
3600,-2000,2880
4666.15,-1870.7,2880
6300,-1207.12,2880
6300,1207.12,2880
4666.15,1870.7,2880
3600,2000,2880
3600,-2000,2880
3600,-2000,2900
4706.48,-1855.13,2900
6300,-1224.29,2900
6300,1224.29,2900
4706.48,1855.13,2900
3600,2000,2900
3600,-2000,2900
3600,-2000,2920
4731.9,-1840.86,2920
6300,-1243.08,2920
6300,1243.08,2920
4731.9,1840.86,2920
3600,2000,2920
3600,-2000,2920
3600,-2000,2940
4739.97,-1828.66,2940
6300,-1262.93,2940
6300,1262.93,2940
4739.97,1828.66,2940
3600,2000,2940
3600,-2000,2940
3600,-2000,2960
4729.94,-1819.17,2960
6300,-1283.27,2960
6300,1283.27,2960
4729.94,1819.17,2960
3600,2000,2960
3600,-2000,2960
3600,-2000,2980
4702.75,-1812.87,2980
6300,-1303.52,2980
6300,1303.52,2980
4702.75,1812.87,2980
3600,2000,2980
3600,-2000,2980
3600,-2000,3000
4661,-1810.12,3000
6300,-1323.09,3000
6300,1323.09,3000
4661,1810.12,3000
3600,2000,3000
3600,-2000,3000
3600,-2000,3020
4608.66,-1811.04,3020
6300,-1341.41,3020
6300,1341.41,3020
4608.66,1811.04,3020
3600,2000,3020
3600,-2000,3020
3600,-2000,3040
4550.74,-1815.59,3040
6300,-1357.97,3040
6300,1357.97,3040
4550.74,1815.59,3040
3600,2000,3040
3600,-2000,3040
3600,-2000,3060
4492.74,-1823.54,3060
6300,-1372.28,3060
6300,1372.28,3060
4492.74,1823.54,3060
3600,2000,3060
3600,-2000,3060
3600,-2000,3080
4440.21,-1834.46,3080
6300,-1383.93,3080
6300,1383.93,3080
4440.21,1834.46,3080
3600,2000,3080
3600,-2000,3080
3600,-2000,3100
4398.14,-1847.78,3100
6300,-1392.58,3100
6300,1392.58,3100
4398.14,1847.78,3100
3600,2000,3100
3600,-2000,3100
3600,-2000,3120
4370.54,-1862.8,3120
6300,-1397.98,3120
6300,1397.98,3120
4370.54,1862.8,3120
3600,2000,3120
3600,-2000,3120
3600,-2000,3140
4360.06,-1878.72,3140
6300,-1399.99,3140
6300,1399.99,3140
4360.06,1878.72,3140
3600,2000,3140
3600,-2000,3140
3600,-2000,3160
4367.68,-1894.71,3160
6300,-1398.53,3160
6300,1398.53,3160
4367.68,1894.71,3160
3600,2000,3160
3600,-2000,3160
3600,-2000,3180
4392.69,-1909.92,3180
6300,-1393.66,3180
6300,1393.66,3180
4392.69,1909.92,3180
3600,2000,3180
3600,-2000,3180
3600,-2000,3200
4432.69,-1923.56,3200
6300,-1385.51,3200
6300,1385.51,3200
4432.69,1923.56,3200
3600,2000,3200
3600,-2000,3200
3600,-2000,3220
4483.87,-1934.91,3220
6300,-1374.32,3220
6300,1374.32,3220
4483.87,1934.91,3220
3600,2000,3220
3600,-2000,3220
3600,-2000,3240
4541.36,-1943.36,3240
6300,-1360.41,3240
6300,1360.41,3240
4541.36,1943.36,3240
3600,2000,3240
3600,-2000,3240
3600,-2000,3260
4599.67,-1948.48,3260
6300,-1344.18,3260
6300,1344.18,3260
4599.67,1948.48,3260
3600,2000,3260
3600,-2000,3260
3600,-2000,3280
4653.25,-1949.98,3280
6300,-1326.1,3280
6300,1326.1,3280
4653.25,1949.98,3280
3600,2000,3280
3600,-2000,3280
3600,-2000,3300
4696.99,-1947.81,3300
6300,-1306.69,3300
6300,1306.69,3300
4696.99,1947.81,3300
3600,2000,3300
3600,-2000,3300
